source,target,type,ligne,distance_m
cergy le haut_RER A 1,cergy saint christophe_RER A 1,adjacence,RER A 1,1714.2001756808331
cergy le haut_RER A 1,cergy le haut_RER A 4,correspondance,,0.0
cergy saint christophe_RER A 1,cergy prefecture_RER A 1,adjacence,RER A 1,3617.844585408406
cergy saint christophe_RER A 1,cergy saint christophe_RER A 4,correspondance,,0.0
cergy prefecture_RER A 1,neuville universite_RER A 1,adjacence,RER A 1,2484.9816324641333
cergy prefecture_RER A 1,cergy prefecture_RER A 4,correspondance,,0.0
neuville universite_RER A 1,conflans fin d'oise_RER A 1,adjacence,RER A 1,2665.9932411922737
neuville universite_RER A 1,neuville universite_RER A 4,correspondance,,0.0
conflans fin d'oise_RER A 1,conflans fin d'oise_RER A 1,correspondance,,0.0
conflans fin d'oise_RER A 1,acheres ville_RER A 1,adjacence,RER A 1,2374.062724775057
conflans fin d'oise_RER A 1,conflans fin d'oise_RER A 4,correspondance,,0.0
acheres ville_RER A 1,maisons laffitte_RER A 1,adjacence,RER A 1,5666.645418360047
acheres ville_RER A 1,acheres ville_RER A 4,correspondance,,0.0
maisons laffitte_RER A 1,sartrouville_RER A 1,adjacence,RER A 1,1236.031465953239
maisons laffitte_RER A 1,maisons laffitte_RER A 2,correspondance,,0.0
maisons laffitte_RER A 1,maisons laffitte_RER A 4,correspondance,,0.0
maisons laffitte_RER A 1,maisons laffitte_RER A 5,correspondance,,0.0
sartrouville_RER A 1,houilles carrieres sur seine_RER A 1,adjacence,RER A 1,2831.233583616031
sartrouville_RER A 1,sartrouville_RER A 2,correspondance,,0.0
sartrouville_RER A 1,sartrouville_RER A 4,correspondance,,0.0
sartrouville_RER A 1,sartrouville_RER A 5,correspondance,,0.0
houilles carrieres sur seine_RER A 1,nanterre prefecture_RER A 1,adjacence,RER A 1,3899.672401034526
houilles carrieres sur seine_RER A 1,houilles carrieres sur seine_RER A 2,correspondance,,0.0
houilles carrieres sur seine_RER A 1,houilles carrieres sur seine_RER A 4,correspondance,,0.0
